playerTransformPositions: x = 16.0218, z = 15.98936 
playerTransformPositions: x = 16.09565, z = 15.95334 
playerTransformPositions: x = 16.1136, z = 15.94458 
playerTransformPositions: x = 16.12147, z = 15.94074 
playerTransformPositions: x = 16.14508, z = 15.92923 
playerTransformPositions: x = 16.1608, z = 15.92156 
playerTransformPositions: x = 16.18665, z = 15.90895 
playerTransformPositions: x = 16.20776, z = 15.89866 
playerTransformPositions: x = 16.23205, z = 15.88681 
playerTransformPositions: x = 16.26783, z = 15.86936 
playerTransformPositions: x = 16.28443, z = 15.86126 
playerTransformPositions: x = 16.31061, z = 15.84849 
playerTransformPositions: x = 16.34009, z = 15.83412 
playerTransformPositions: x = 16.36028, z = 15.82427 
playerTransformPositions: x = 16.38702, z = 15.81123 
playerTransformPositions: x = 16.41257, z = 15.79877 
playerTransformPositions: x = 16.43593, z = 15.78737 
playerTransformPositions: x = 16.41125, z = 15.79941 
playerTransformPositions: x = 16.38836, z = 15.81058 
playerTransformPositions: x = 16.36344, z = 15.82273 
playerTransformPositions: x = 16.33828, z = 15.835 
playerTransformPositions: x = 16.3147, z = 15.8465 
playerTransformPositions: x = 16.29069, z = 15.85821 
playerTransformPositions: x = 16.26119, z = 15.8726 
playerTransformPositions: x = 16.24185, z = 15.88203 
playerTransformPositions: x = 16.21774, z = 15.89379 
playerTransformPositions: x = 16.19427, z = 15.90524 
playerTransformPositions: x = 16.17008, z = 15.91704 
playerTransformPositions: x = 16.14345, z = 15.93003 
playerTransformPositions: x = 16.12004, z = 15.94144 
playerTransformPositions: x = 16.09529, z = 15.95351 
playerTransformPositions: x = 16.06811, z = 15.96677 
playerTransformPositions: x = 16.04614, z = 15.97749 
playerTransformPositions: x = 16.01745, z = 15.99148 
playerTransformPositions: x = 15.99142, z = 16.00418 
playerTransformPositions: x = 15.9692, z = 16.01501 
playerTransformPositions: x = 15.94377, z = 16.02741 
playerTransformPositions: x = 15.91255, z = 16.04264 
playerTransformPositions: x = 15.87168, z = 16.05059 
playerTransformPositions: x = 15.85704, z = 16.05343 
playerTransformPositions: x = 15.82921, z = 16.05884 
playerTransformPositions: x = 15.77371, z = 16.06963 
playerTransformPositions: x = 15.76762, z = 16.07081 
playerTransformPositions: x = 15.74439, z = 16.07533 
playerTransformPositions: x = 15.71773, z = 16.08051 
playerTransformPositions: x = 15.68653, z = 16.08658 
playerTransformPositions: x = 15.6654, z = 16.09068 
playerTransformPositions: x = 15.63869, z = 16.09587 
playerTransformPositions: x = 15.60277, z = 16.10286 
playerTransformPositions: x = 15.58818, z = 16.10569 
playerTransformPositions: x = 15.5619, z = 16.1108 
playerTransformPositions: x = 15.53513, z = 16.116 
playerTransformPositions: x = 15.50873, z = 16.12114 
playerTransformPositions: x = 15.48301, z = 16.12613 
playerTransformPositions: x = 15.45727, z = 16.13114 
playerTransformPositions: x = 15.42889, z = 16.13666 
playerTransformPositions: x = 15.40338, z = 16.14161 
playerTransformPositions: x = 15.37071, z = 16.14796 
playerTransformPositions: x = 15.34839, z = 16.1523 
playerTransformPositions: x = 15.32075, z = 16.15768 
playerTransformPositions: x = 15.28949, z = 16.16375 
playerTransformPositions: x = 15.26751, z = 16.16802 
playerTransformPositions: x = 15.23857, z = 16.16651 
playerTransformPositions: x = 15.20791, z = 16.1649 
playerTransformPositions: x = 15.17939, z = 16.1634 
playerTransformPositions: x = 15.1526, z = 16.162 
playerTransformPositions: x = 15.12354, z = 16.16048 
playerTransformPositions: x = 15.09559, z = 16.15901 
playerTransformPositions: x = 15.06866, z = 16.1576 
playerTransformPositions: x = 15.04027, z = 16.15611 
playerTransformPositions: x = 15.01225, z = 16.15465 
playerTransformPositions: x = 14.98458, z = 16.1532 
playerTransformPositions: x = 14.95569, z = 16.15168 
playerTransformPositions: x = 14.92809, z = 16.15023 
playerTransformPositions: x = 14.90079, z = 16.1488 
playerTransformPositions: x = 14.87216, z = 16.1473 
playerTransformPositions: x = 14.8458, z = 16.14592 
playerTransformPositions: x = 14.81692, z = 16.14441 
playerTransformPositions: x = 14.78699, z = 16.14284 
playerTransformPositions: x = 14.76222, z = 16.14154 
playerTransformPositions: x = 14.7295, z = 16.13983 
playerTransformPositions: x = 14.69855, z = 16.1382 
playerTransformPositions: x = 14.67106, z = 16.13676 
playerTransformPositions: x = 14.64322, z = 16.13531 
playerTransformPositions: x = 14.61628, z = 16.13389 
playerTransformPositions: x = 14.59409, z = 16.13273 
playerTransformPositions: x = 14.5589, z = 16.13089 
playerTransformPositions: x = 14.53755, z = 16.12977 
playerTransformPositions: x = 14.5069, z = 16.12816 
playerTransformPositions: x = 14.47761, z = 16.12663 
playerTransformPositions: x = 14.4495, z = 16.12515 
playerTransformPositions: x = 14.42692, z = 16.12397 
playerTransformPositions: x = 14.39378, z = 16.12223 
playerTransformPositions: x = 14.36516, z = 16.12073 
playerTransformPositions: x = 14.33386, z = 16.11909 
playerTransformPositions: x = 14.30971, z = 16.11782 
playerTransformPositions: x = 14.28216, z = 16.11638 
playerTransformPositions: x = 14.2554, z = 16.11498 
playerTransformPositions: x = 14.22451, z = 16.11336 
playerTransformPositions: x = 14.19568, z = 16.11185 
playerTransformPositions: x = 14.16482, z = 16.11023 
playerTransformPositions: x = 14.13747, z = 16.1088 
playerTransformPositions: x = 14.10981, z = 16.10735 
playerTransformPositions: x = 14.08158, z = 16.10587 
playerTransformPositions: x = 14.0537, z = 16.10441 
playerTransformPositions: x = 14.02519, z = 16.10291 
playerTransformPositions: x = 13.99727, z = 16.10145 
playerTransformPositions: x = 13.96927, z = 16.09998 
playerTransformPositions: x = 13.94129, z = 16.09852 
playerTransformPositions: x = 13.91335, z = 16.09705 
playerTransformPositions: x = 13.88616, z = 16.09563 
playerTransformPositions: x = 13.85729, z = 16.09412 
playerTransformPositions: x = 13.83039, z = 16.09271 
playerTransformPositions: x = 13.80226, z = 16.09123 
playerTransformPositions: x = 13.77227, z = 16.08966 
playerTransformPositions: x = 13.7447, z = 16.08822 
playerTransformPositions: x = 13.71784, z = 16.08681 
playerTransformPositions: x = 13.68867, z = 16.08528 
playerTransformPositions: x = 13.66052, z = 16.08381 
playerTransformPositions: x = 13.62959, z = 16.08218 
playerTransformPositions: x = 13.60546, z = 16.08092 
